Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
11.1,14.8977,15,15.2779,4,17.1361,0,0
11.15,14.8982,15,15.2779,4,17.1094,0,0
11.2,14.8988,15,15.2779,4,17.084,0,0
11.25,14.8993,15,15.2779,4,17.06,0,0
11.3,14.8997,15,15.2779,4,17.0371,0,0
11.35,14.9002,15,15.2779,4,17.0155,0,0
11.4,14.9006,15,15.2779,4,16.995,0,0
11.45,14.9028,15,15.3126,5,18.5406,0,0
11.5,14.9048,15,15.3126,5,18.4439,0,0
11.55,14.9067,15,15.3126,5,18.3522,0,0
11.6,14.9086,15,15.3126,5,18.2652,0,0
11.65,14.9103,15,15.3126,5,18.1826,0,0
11.7,14.912,15,15.3126,5,18.1044,0,0
11.75,14.9135,15,15.3126,5,18.0301,0,0
11.8,14.915,15,15.3126,5,17.9597,0,0
11.85,14.9164,15,15.3126,5,17.8929,0,0
11.9,14.9178,15,15.3126,5,17.8295,0,0
11.95,14.919,15,15.3126,5,17.7694,0,0
12,14.8775,15,15.3126,5,17.7124,5,0
12.05,14.8382,15,15.3126,5,19.5801,5,0
12.1,14.8008,15,15.3126,5,21.3517,5,0
12.15,14.7654,15,15.3126,5,23.032,5,0
12.2,14.7318,15,15.3126,5,24.6258,5,0
12.25,14.6999,15,15.3126,5,26.1376,5,0
12.3,14.6697,15,15.3126,5,27.5716,5,0
12.35,14.641,15,15.3126,5,28.9317,5,0
12.4,14.6139,15,15.3126,5,30.2219,5,0
12.45,14.5881,15,15.3126,5,31.4456,5,0
12.5,14.5636,15,15.3126,5,32.6064,5,0
12.55,14.5404,15,15.3126,5,33.7074,5,0
12.6,14.5184,15,15.3126,5,34.7518,5,0
12.65,14.4975,15,15.3126,5,35.7425,5,0
12.7,14.4777,15,15.3126,5,36.6821,5,0
12.75,14.4589,15,15.3126,5,37.5735,5,0
12.8,14.4411,15,15.3126,5,38.4189,5,0
12.85,14.4242,15,15.3126,5,39.2209,5,0
12.9,14.4081,15,15.3126,5,39.9816,5,0
12.95,14.3929,15,15.3126,5,40.7032,5,0
13,14.3785,15,15.3126,5,41.3877,5,0
